Facility ID,Office name,Profit center,Reporting Office Nam,Pincode,Head Office,Division,TALUK,PLI Facility ID,SOL ID,WEGCODE,SUBDIVISION,Mobile,Plant,Latitude Actual,Longitude Actual,Delivery/Non-Deliver,Reporting Office,PLANT PORTAL,Storage Location Nam,Facility Type,Plant Name,Storage Location,PORTAL_STR_LOC,Address1,Region,Region_1,Circle,City
BO29103108001,Chengattur BO,2912110801,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103010,0,WEG21327,Walajapet Sub Division,9043980300,T131,12.348733,80.00314,Delivery,Cheyur SO Kanchipuram,,B081,BO,,,,"Middle Street, Chengattur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108002,Cheyyur North B.O,,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,Cheyyur,,0,,Chengalpattu West Sub Division,0,,,,Non-Delivery,Cheyur SO Kanchipuram,,,BO,,,,Cheyyur North B.O,Chennai City Region,,Tamil Nadu,Kanchipuram
BO29103108003,Irumbedu BO,2912110802,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103013,0,WEG21327,Madurantakam Sub Division,9787570454,T131,12.348731,80.003142,Delivery,Cheyur SO Kanchipuram,,B083,BO,,,,"Hospital Road, Irumbedu",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108004,Nainarkuppam BO,2912110803,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103014,0,WEG21327,#N/A,9994179039,T131,12.348735,80.003138,Delivery,Cheyur SO Kanchipuram,,B084,BO,,,,"261, Nainarkuppaam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108005,Palaiyur BO,2912110804,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103015,0,WEG21327,Madurantakam Sub Division,8056779310,T131,12.33807,80.03173,Delivery,Cheyur SO Kanchipuram,,B085,BO,,,,"3/15, Pillaiyar Koil Street, Palaiyur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108006,Panaiyur BO,2912110805,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103016,0,WEG21327,Madurantakam Sub Division,8056779310,T131,12.348731,80.003142,Delivery,Cheyur SO Kanchipuram,,B086,BO,,,,"ECR Road, Panaiyur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108007,Perumbakkam BO,2912110806,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103017,0,WEG21327,Madurantakam Sub Division,9047881869,T131,12.9000272,80.1958645,Delivery,Cheyur SO Kanchipuram,,B087,BO,,,,"1st Street, Perumbakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103108008,Zamin Budur BO,2912110807,Cheyur SO Kanchipuram,603302,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103018,0,WEG21327,Madurantakam Sub Division,9952473411,T131,12.33807,80.03173,Delivery,Cheyur SO Kanchipuram,,B088,BO,,,,"49, Vinayagar Koil Street, Zamin Budur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103109001,Kattudevadur BO,2912110901,Chithamur SO,603313,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103020,0,WEG08673,Madurantakam Sub Division,9884344964,T131,12.348735,80.003138,Delivery,Chithamur SO,,B091,BO,,,,"School Street, Kattudevadur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103109002,Neerpair BO,2912110902,Chithamur SO,603313,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103069,0,WEG08673,Ranipet Sub Division,9629641087,T131,12.348731,80.003142,Delivery,Chithamur SO,,B092,BO,,,,"Vinayagar Koil Street, Neerpair",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103109003,Nugumbal BO,2912110903,Chithamur SO,603313,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103070,0,WEG08673,Chengalpattu East Sub Division,9629997192,T131,12.348731,80.003142,Delivery,Chithamur SO,,B093,BO,,,,"3rd Cross Street, Nugumbal",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103109004,Onambakkam BO,2912110904,Chithamur SO,603313,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103021,0,WEG08673,Madurantakam Sub Division,9382120864,T131,12.348733,80.00314,Delivery,Chithamur SO,,B094,BO,,,,"Post Office Street, Onambakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103109005,Vilanganur BO,2912110905,Chithamur SO,603313,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103023,0,WEG08673,Madurantakam Sub Division,9500374271,T131,12.348733,80.00314,Delivery,Chithamur SO,,B095,BO,,,,"Main Road, Vilanganur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103110001,Andarkuppam BO,2912111001,Chunampet SO,603401,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103025,0,WEG08674,Madurantakam Sub Division,9655825056,T131,12.348734,80.003139,Delivery,Chunampet SO,,B101,BO,,,,"3, Vinayagar Koil Street, Andarkuppam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103110002,Kadukkalur BO,2912111002,Chunampet SO,603401,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103026,0,WEG08674,#N/A,9843864273,T131,12.348733,80.00314,Delivery,Chunampet SO,,B102,BO,,,,"6, Post Office Street, Kadukkalur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103110003,Puthirankottai BO,2912111003,Chunampet SO,603401,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103089,0,WEG08674,Madurantakam Sub Division,9445283501,T131,12.348737,80.003136,Delivery,Chunampet SO,,B103,BO,,,,"1/31, Bajanai Koil Street, Puthirankotta",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103110004,Vannianallur BO,2912111004,Chunampet SO,603401,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103027,0,WEG08674,Madurantakam Sub Division,8760500531,T131,12.27472,79.9199,Delivery,Chunampet SO,,B104,BO,,,,"3/13, Main Road, Vannianallur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103110005,Velur BO,2912111005,Chunampet SO,603401,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050103029,0,WEG08674,Madurantakam Sub Division,8760500531,T131,12.27472,79.9199,Delivery,Chunampet SO,,B105,BO,,,,"14/54, Pillaiyar Koil Street, Velur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103111001,Kattukaranai BO,2912111101,Elapakkam SO,603201,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103031,0,WEG08675,#N/A,9176953812,T131,12.64445,79.8424,Delivery,Elapakkam SO,,B111,BO,,,,"1/42, West Mada Street, Kattukaranai",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103111002,Madhur BO,2912111102,Elapakkam SO,603201,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103032,0,WEG08675,Madurantakam Sub Division,9444730933,T131,12.5102226,79.8849294,Delivery,Elapakkam SO,,B112,BO,,,,"10, Mathava Perumal Koil Street, Madhur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103111003,Padiri BO,2912111103,Elapakkam SO,603201,Chengalpattu HO,Chengalpattu Division,MADURANTHAKAM,PM050103033,0,WEG08675,Walajapet Sub Division,9524891562,T131,12.5102226,79.8849294,Delivery,Elapakkam SO,,B113,BO,,,,"Panchayat Office Bldg,Ellaiamman Koil St",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103111004,Ramapuram BO,2912111104,Elapakkam SO,603201,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050103034,0,WEG08675,Madurantakam Sub Division,8526399571,T131,12.5102256,79.8849264,Delivery,Elapakkam SO,,B114,BO,,,,"Bazaar St, Vandavasi Road,Elapakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103111005,Madhur B.O,,Vellimalai S.O,606209,Kallakurichi H.O,Chennai City North Division,SANKARAPURAM,,0,,Madurantakam Sub Division,0,,,,Delivery,Vellimalai S.O,,,BO,,,,Madhur,"Central Region, Trichirapalli",,Tamil Nadu,Vriddhachalam
BO29103111006,Kattukaranai B.O,,Elapakkam SO,603201,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,,0,,#N/A,0,,,,,Elapakkam SO,,,BO,,,,Kattukaranai,Chennai City Region,,Tamil Nadu,Chengalpattu
BO29103112001,Kannivakkam BO,2912111201,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102008,0,WEG21328,#N/A,8807863722,T131,12.84275,80.0556,Delivery,Guduvancheri SO,,B121,BO,,,,"68/2, Pillaiyar Koil Street, Kannivakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112002,Karanaipuduchery BO,2912111202,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102009,0,WEG21328,Chengalpattu West Sub Division,9003108315,T131,12.6840112,79.9833323,Delivery,Guduvancheri SO,,B122,BO,,,,"2/90, Gangaiamman Koil Street, Karanaipu",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112003,Kayarambedu BO,2912111203,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102010,0,WEG21328,Chengalpattu West Sub Division,8015374366,T131,12.6840072,79.9833363,Delivery,Guduvancheri SO,,B123,BO,,,,"165, Thandumariamman Koil Street",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112004,Madambakkam BO,2912111204,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,CHENGALPLATTU,PM050102011,0,WEG21328,Chengalpattu West Sub Division,9790758514,T131,12.6840062,79.9833373,Delivery,Guduvancheri SO,,B124,BO,,,,"1/10, Periyar Street, Madambakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112005,Thangappapuram BO,2912111205,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050103096,0,WEG21328,Ramanathapuram  Sub Division,8015374366,T131,12.6840072,79.9833363,Delivery,Guduvancheri SO,,B125,BO,,,,"181, MGR Street, Thangappapuram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112007,Adhanur B.O,2912111206,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,,PM050103099,0,,Vedasandur Sub Division,0,T131,,,Delivery,Guduvancheri SO,,B127,BO,,,,"Adhanur, Guduvancheri",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103112008,KUMIZHI BO,2912111207,Guduvancheri SO,603202,Chengalpattu HO,Chengalpattu Division,,,0,,Vriddhachalam sub dn,0,T131,12.802763,80.120115,Delivery,Guduvancheri SO,,B128,BO,,,,"Panchayat office building, , Nellikuppam Road, Kumizhi, Guduvancheri SO - 603 202.",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114001,Ayapakkam BO,2912111401,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKLALIKUNDRAM,PM050101008,0,WEG21329,Chengalpattu West Sub Division,9597519997,T131,12.4676268,80.0925924,Delivery,Kalpakkam SO,,B141,BO,,,,"Puthupattinam Road, Ayapakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114002,Manamai BO,2912111402,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUNDRAM,PM050101009,0,WEG21329,Chengalpattu East Sub Division,9626122975,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B142,BO,,,,"148, 1st Cross Street, Manamai",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114003,Melperumalcheri BO,2912111403,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,CHENGALPATT,PM050101010,0,WEG21329,Madurantakam Sub Division,9941021927,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B143,BO,,,,"Anjaneyar Koil Street, Melperumalcheri",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114004,Pattaraikalani BO,2912111404,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,CHENGALPATT,PM050101073,0,WEG21329,Madurantakam Sub Division,9994575213,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B144,BO,,,,"Pillaiyar Koil Street, Pattaraikalani",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114005,Reactor Research Centre BO,2912111405,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALUKUNDRAM,PM050101062,0,WEG21329,Chengalpattu East Sub Division,9994575213,T131,12.5088,80.12641,Non-Delivery,Kalpakkam SO,,B145,BO,,,,"Reactor Research Centre, Kalpakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114006,Suradimangalam BO,2912111406,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUNDRAM,PM050101075,0,WEG21329,#N/A,8870688613,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B146,BO,,,,"Pudupattinam Road, Suradimangalam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114007,Vayalur BO,2912111407,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUNDRAM,PM050101011,0,WEG21329,Chengalpattu East Sub Division,7845593332,T131,12.4942504,80.1233105,Delivery,Kalpakkam SO,,B147,BO,,,,"103,Post Office Street, Vayalur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114008,Vazhuvadur BO,2912111408,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUNDRAM,PM050101059,0,WEG21329,Madurantakam Sub Division,9500430197,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B148,BO,,,,"Panchayat Bldg, Sadras",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114009,Vengapakkam BO,2912111409,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUNDRAM,PM050101012,0,WEG21329,Chengalpattu East Sub Division,8754653724,T131,12.5502888,80.144243,Delivery,Kalpakkam SO,,B149,BO,,,,"7,Duraisamy Bldg, ECR Road, Vengapakkam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103114010,Vittilapuram B.O,,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,Tirukalukundram,,0,,Arakkonam Sub Division,0,,,,Delivery,Kalpakkam SO,,,BO,,,,Vittilapuram B.O,Chennai City Region,,Tamil Nadu,Kanchipuram
BO29103114011,Reactor Research Centre  B.O,,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALUKUNDRAM,,0,,Chengalpattu East Sub Division,0,,,,,Kalpakkam SO,,,BO,,,,Reactor Research Centre,Chennai City Region,,Tamil Nadu,Chengalpattu
BO29103114012,Vittilapuram BO,2912111410,Kalpakkam SO,603102,Chengalpattu HO,Chengalpattu Division,TIRUKALIKUN,PM050101013,0,WEG21329,#N/A,9994780919,T131,12.5088,80.12641,Delivery,Kalpakkam SO,,B14C,BO,,,,"1/38,Pillaiyar Koil Street,Vittalapuram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115001,Janakipuram BO,2912111501,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101015,0,WEG21330,Chengalpattu East Sub Division,9159399947,T131,12.5102276,79.8849244,Delivery,Karunguli SO,,B151,BO,,,,"Eswaran Koil Street,Janakipuram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115002,Kathiricheri BO,2912111502,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101017,0,WEG21330,Chengalpattu East Sub Division,9597602940,T131,12.5102276,79.8849244,Delivery,Karunguli SO,,B152,BO,,,,"19,Pillaiyar Koil Street,Kathiricheri",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115003,Keelavalam BO,2912111503,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101018,0,WEG21330,Chengalpattu East Sub Division,8144883835,T131,12.5102266,79.8849254,Delivery,Karunguli SO,,B153,BO,,,,"Panchayat Bldg, Keelavalam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115004,Kinar BO,2912111504,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050101019,0,WEG21330,Chengalpattu East Sub Division,9894392577,T131,12.5248487,79.9178659,Delivery,Karunguli SO,,B154,BO,,,,"2,Perumal Koil Street, Kinar",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115005,KinarKandigaiPudur BO,2912111505,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050101020,0,WEG21330,Madurantakam Sub Division,9943533028,T131,12.5248487,79.9178659,Delivery,Karunguli SO,,B155,BO,,,,"270,Susaiappar Koil Street, K K Pudur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115006,Malapalayam BO,2912111506,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050101021,0,WEG21330,Chengalpattu East Sub Division,9445296920,T131,12.5102276,79.8849244,Delivery,Karunguli SO,,B156,BO,,,,"Pillaiyar koil st, malapalayam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115007,Malayalipettai BO,2912111507,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101022,0,WEG21330,Chengalpattu East Sub Division,8940471736,T131,12.53745,79.9167,Delivery,Karunguli SO,,B157,BO,,,,"NO 6 GN Pettai st , malayalipettai",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115008,Melavalam BO,2912111508,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050101023,0,WEG21330,Chengalpattu East Sub Division,9944904353,T131,12.53745,79.9167,Delivery,Karunguli SO,,B158,BO,,,,"Govt Hr Sec School St, Melavalam",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115009,Pudupattu BO,2912111509,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050101024,0,WEG21330,Chengalpattu East Sub Division,9003395286,T131,12.6840042,79.9833393,Delivery,Karunguli SO,,B159,BO,,,,"NO.7 Pillaiyar koil street , Pudupattu",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115010,Vedavakkam BO,2912111510,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101025,0,WEG21330,Chengalpattu East Sub Division,9787478350,T131,12.5102266,79.8849254,Delivery,Karunguli SO,,B15A,BO,,,,"NO.29/23, Thanthoniamman koil street,",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103115011,Kathirichery B.O,,Karunguli SO,603303,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,,0,,Chengalpattu East Sub Division,0,,,,,Karunguli SO,,,BO,,,,Kathirichery,Chennai City Region,,Tamil Nadu,Chengalpattu
BO29103116001,Kavanur BO,2912111601,Kattankolathur SO,603203,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050102015,0,WEG21331,#N/A,9788122337,T131,12.6840022,79.9833413,Delivery,Kattankolathur SO,,B161,BO,,,,"Bajanai koil street, Kavanur village",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103116002,Ninnakarai BO,2912111602,Kattankolathur SO,603203,Chengalpattu HO,Chengalpattu Division,CHENGALPATT,PM050102016,0,WEG21331,Chengalpattu West Sub Division,8754721300,T131,12.6840052,79.9833383,Delivery,Kattankolathur SO,,B162,BO,,,,"NO.7, Vallanchery road, Ninnakarai",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117001,Kolathur BO,2912111701,Kudapakkam SO,603304,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103036,0,WEG08677,Chengalpattu West Sub Division,9787424626,T131,12.348731,80.003142,Delivery,Kudapakkam SO,,B171,BO,,,,"2/381, School Street,Kolathur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117002,Kottaikadu BO,2912111702,Kudapakkam SO,603304,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050103037,0,WEG08677,Madurantakam Sub Division,9626234769,T131,12.5102266,79.8849254,Delivery,Kudapakkam SO,,B172,BO,,,,"189/190,Mariamman Koil Street,Kottaikadu",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117003,Sembulipuram BO,2912111703,Kudapakkam SO,603304,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050103039,0,WEG08677,Madurantakam Sub Division,9787424373,T131,12.348735,80.003138,Delivery,Kudapakkam SO,,B173,BO,,,,"Post Office Road,Sembulipuram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117004,Vedal BO,2912111704,Kudapakkam SO,603304,Chengalpattu HO,Chengalpattu Division,MADURANTAKA,PM050103041,0,WEG08677,Madurantakam Sub Division,8220863391,T131,12.348728,80.003145,Delivery,Kudapakkam SO,,B174,BO,,,,"PWD Bldg,Cheyur Road,Vedal",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117005,Vilambur BO,2912111705,Kudapakkam SO,603304,Chengalpattu HO,Chengalpattu Division,CHEYUR,PM050103040,0,WEG08677,Madurantakam Sub Division,8220863391,T131,12.348731,80.003142,Delivery,Kudapakkam SO,,B175,BO,,,,"188,Pillaiyar Koil Street,Vilambur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103117006,Kolathur B.O,,Melakkottaiyur SO,600127,Tambaram HO,Tambaram Division,TIRUPORUR,,0,,Madurantakam Sub Division,0,,12.798,80.13,Delivery,Melakkottaiyur SO,,,BO,,,,"Kolathur main road, Kolathur",Chennai City Region,,Tamil Nadu,Kanchipuram
BO29103118001,Kadalur BO,2912111801,Kuvathur SO,603305,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101027,0,WEG08678,#N/A,8072040428,T131,12.5102236,79.8849284,Delivery,Kuvathur SO,,B181,BO,,,,"36,East Street,Kadalur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103118002,Kodoovur BO,2912111802,Kuvathur SO,603305,Chengalpattu HO,Chengalpattu Division,CHEYYUR,PM050101028,0,WEG08678,Chengalpattu East Sub Division,8072040428,T131,12.348731,80.003142,Delivery,Kuvathur SO,,B182,BO,,,,"6/384,Main Road,Kodoovur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103118003,Mugaiyur BO,2912111803,Kuvathur SO,603305,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101029,0,WEG08678,Chengalpattu East Sub Division,9941598884,T131,12.5102246,79.8849274,Delivery,Kuvathur SO,,B183,BO,,,,"36/920,Nadu Theru,Mugaiyur",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103118004,Nedumaram BO,2912111804,Kuvathur SO,603305,Chengalpattu HO,Chengalpattu Division,MADURANTAKAM,PM050101030,0,WEG08678,Chengalpattu East Sub Division,9941598884,T131,12.5102256,79.8849264,Delivery,Kuvathur SO,,B184,BO,,,,"Panchayat Bldg,Nedumaram",Chennai City Region,,Tamil Nadu,CHENGALPATTU
BO29103118005,Nerkunapattu BO,2912111805,Kuvathur SO,603305,Chengalpattu HO,Chengalpattu Division,CHENGALPATTU,PM050101031,0,WEG08678,Chengalpattu East Sub Division,9941598884,T131,12.70115,80.10735,Delivery,Kuvathur SO,,B185,BO,,,,"Panchayat Bldg,Nerkunapattu",Chennai City Region,,Tamil Nadu,CHENGALPATTU
